Year,Trt_code,Date,SWD_obs,root_m,stage_group,baseline
2012,1,2012-05-25,9.5,0.25,Early vegetative,17.73044451931428
2012,1,2012-05-31,8.8,0.335,Early vegetative,8.475262816907863
2012,1,2012-06-05,23.2,0.41,Early vegetative,22.531674203040467
2012,1,2012-06-07,9.1,0.44,Early vegetative,-4.794418794289546
2012,1,2012-06-08,3.6,0.455,Early vegetative,4.846605138873335
2012,1,2012-06-13,24.8,0.54,Early vegetative,18.438042330763047
2012,1,2012-06-15,9.8,0.58,Early vegetative,3.9460501899331812
2012,1,2012-06-18,26.1,0.64,Early vegetative,18.28410678579358
2012,1,2012-06-20,12.6,0.68,Late vegetative,4.77497332595879
2012,1,2012-06-24,52.1,0.76,Late vegetative,33.48124289416493
2012,1,2012-06-26,19.4,0.8,Late vegetative,10.342594099118806
2012,1,2012-06-28,41.9,0.84,Late vegetative,21.726263211166263
2012,1,2012-07-03,55.8,0.92,Late vegetative,27.16692838146481
2012,1,2012-07-05,20.8,0.94,Late vegetative,4.6178711003306345
2012,1,2012-07-10,22.9,0.97,Early vegetative,12.529724063175031
2012,1,2012-07-12,50.7,0.98,Early vegetative,25.106274233676366
2012,1,2012-07-17,35.6,1.005,Early vegetative,20.374551138526343
2012,1,2012-07-19,12.2,1.015,Late vegetative,5.113658341717889
2012,1,2012-07-22,64.2,1.03,Late vegetative,26.45406249971862
2012,1,2012-07-24,6.8,1.04,Reproductive,4.733303338055576
2012,1,2012-07-26,38.5,1.05,Reproductive,16.43828572247376
2012,1,2012-07-31,49.3,1.05,Reproductive,20.558224773239438
2012,1,2012-08-02,10.4,1.05,Reproductive,2.7504876906341105
2012,1,2012-08-05,56.0,1.05,Reproductive,20.112558215228248
2012,1,2012-08-07,21.4,1.05,Reproductive,0.4082539651184089
2012,1,2012-08-09,42.8,1.05,Reproductive,12.740218467387201
2012,1,2012-08-14,43.7,1.05,Reproductive,16.700986647672075
2012,1,2012-08-16,16.1,1.05,Grain filling,0.7930236666264056
