Year,Trt_code,Date,SWD_obs,root_m,stage_group,prior,baseline,fold
2013,1,2013-06-06,14.7,0.09,Early vegetative,15.299999999999997,15.299999999999997,2012->2013
2013,1,2013-06-10,18.7,0.13,Early vegetative,10.504487875905541,13.606270819749426,2012->2013
2013,1,2013-06-12,26.3,0.15,Early vegetative,17.84019157040363,17.36186688857132,2012->2013
2013,1,2013-06-14,4.5,0.17,Early vegetative,12.849833218475789,11.153330057659593,2012->2013
2013,1,2013-06-19,20.1,0.22,Early vegetative,21.966836928993903,21.32294560533153,2012->2013
2013,1,2013-06-21,8.0,0.24,Early vegetative,13.71588441671489,13.997027265121751,2012->2013
2013,1,2013-06-25,35.7,0.29,Early vegetative,21.223833781209613,23.564995000552805,2012->2013
2013,1,2013-06-27,8.4,0.32,Early vegetative,24.138499176683627,18.93918315077228,2012->2013
2013,1,2013-06-30,35.2,0.365,Early vegetative,27.283144552137735,28.888093748174217,2012->2013
2013,1,2013-07-02,8.3,0.395,Early vegetative,25.04313525744657,22.137418448833476,2012->2013
2013,1,2013-07-04,45.2,0.425,Early vegetative,28.00383239203303,31.8343378462781,2012->2013
2013,1,2013-07-09,38.2,0.5,Early vegetative,38.74802288711553,31.385028925819896,2012->2013
2013,1,2013-07-11,28.7,0.54,Early vegetative,14.827309529391291,8.078160812664628,2012->2013
2013,1,2013-07-14,26.2,0.6,Early vegetative,24.182768618609263,9.401120410460566,2012->2013
2013,1,2013-07-15,17.0,0.62,Late vegetative,21.21525958962782,5.426545414757233,2012->2013
2013,1,2013-07-17,2.7,0.66,Late vegetative,9.077653431886128,5.780916787383737,2012->2013
2013,1,2013-07-18,21.6,0.68,Late vegetative,9.285012565111101,10.075522599674386,2012->2013
2013,1,2013-07-23,45.2,0.78,Late vegetative,21.39359798549092,21.398455813427226,2012->2013
2013,1,2013-07-25,4.0,0.82,Early vegetative,0.9925707362802231,0.5103403542350633,2012->2013
2013,1,2013-07-28,29.1,0.88,Early vegetative,12.484746327922155,12.283893270199991,2012->2013
2013,1,2013-07-30,11.5,0.91,Early vegetative,3.3500847805560454,3.0682670596440946,2012->2013
2013,1,2013-08-01,23.3,0.93,Reproductive,17.883287984085367,15.355233327509602,2012->2013
2013,1,2013-08-06,20.8,0.965,Reproductive,14.779363996325957,14.785607132490584,2012->2013
2013,1,2013-08-08,7.9,0.975,Reproductive,3.3393051618216036,1.90991887856667,2012->2013
2013,1,2013-08-11,44.3,0.99,Reproductive,18.98994370075823,15.647917996706921,2012->2013
2013,1,2013-08-13,7.6,1.0,Reproductive,7.723697553115402,0.9386668494796891,2012->2013
2013,1,2013-08-15,31.6,1.01,Reproductive,16.260411964870702,11.64820534301766,2012->2013
2013,1,2013-08-20,53.8,1.035,Reproductive,22.93187511419644,18.887349079767745,2012->2013
2013,1,2013-08-22,8.4,1.045,Reproductive,5.232361821911238,-5.440816961574036,2012->2013
2013,1,2013-08-25,42.0,1.05,Reproductive,19.724992180914295,12.506042163726969,2012->2013
2013,1,2013-08-27,10.4,1.05,Reproductive,16.57889104838694,3.1798728621023824,2012->2013
2013,1,2013-08-29,28.8,1.05,Reproductive,21.3340455724658,12.348948350106543,2012->2013
2013,1,2013-09-04,61.0,1.05,Reproductive,19.376346458297917,18.885976506581656,2012->2013
2013,1,2013-09-06,19.1,1.05,Reproductive,23.959997567546296,3.8734329094161413,2012->2013
2013,1,2013-09-17,23.1,1.05,Reproductive,2.725363821000813,2.7313413556313977,2012->2013
2013,2,2013-06-06,7.6,0.09,Early vegetative,15.299999999999997,15.299999999999997,2012->2013
2013,2,2013-06-10,20.9,0.13,Early vegetative,10.504487875905541,13.606270819749426,2012->2013
2013,2,2013-06-12,24.5,0.15,Early vegetative,18.795955047933468,17.36186688857132,2012->2013
2013,2,2013-06-14,5.6,0.17,Early vegetative,12.82480643548456,11.153330057659593,2012->2013
2013,2,2013-06-19,22.9,0.22,Early vegetative,22.147134268349866,21.32294560533153,2012->2013
2013,2,2013-06-21,10.0,0.24,Early vegetative,15.347290533486571,13.997027265121751,2012->2013
2013,2,2013-06-25,35.4,0.29,Early vegetative,23.017882113874702,23.564995000552805,2012->2013
2013,2,2013-06-27,7.1,0.32,Early vegetative,24.559288777537063,18.71797260634515,2012->2013
2013,2,2013-06-30,38.0,0.365,Early vegetative,26.735495546545035,28.76169618722494,2012->2013
2013,2,2013-07-02,9.2,0.395,Early vegetative,26.16431092755325,22.02301054611802,2012->2013
2013,2,2013-07-04,48.0,0.425,Early vegetative,28.42738674754751,31.745624352056623,2012->2013
